source	site	判定	http	备注	最终地址	原URL	页面标题	语料曲名
jianpucn-409237	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/40/409237.htm	http://www.jianpu.cn/pu/40/409237.htm	不为谁而作的歌 林俊杰 歌谱简谱网	不为谁而作的歌
jianpucn-446516	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/44/446516.htm	http://www.jianpu.cn/pu/44/446516.htm	不再流浪（电影《罗小黑战记》治愈推广曲） 周深 歌谱简谱网	不再流浪
jianpucn-278888	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/27/278888.htm	http://www.jianpu.cn/pu/27/278888.htm	不再犹豫（双吉它） Beyond 歌谱简谱网	不再犹豫
jianpucn-272404	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/27/272404.htm	http://www.jianpu.cn/pu/27/272404.htm	不到天荒情不老 蔡幸娟 歌谱简谱网	不到天荒情不老
jianpucn-234084	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/23/234084.htm	http://www.jianpu.cn/pu/23/234084.htm	不可一世 吉他 — （扫描版） 歌谱简谱网	不可一世
jianpucn-64593	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/64/64593.htm	http://www.jianpu.cn/pu/64/64593.htm	不同 歌曲类 简谱 歌谱简谱网	不同 歌曲类
qupu123-331009	qupu123	ok(曲名命中)	200		https://www.qupu123.com/tongsu/bazi/p331009.html	https://www.qupu123.com/tongsu/bazi/p331009.html	不在你身边的日子 （杜劲松词 李怀东曲）_通俗曲谱_中国曲谱网	不在你身边的日子
jianpucn-70711	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/70/70711.htm	http://www.jianpu.cn/pu/70/70711.htm	不后悔 歌谱简谱网	不后悔
jianpucn-432656	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/43/432656.htm	http://www.jianpu.cn/pu/43/432656.htm	不如归去（台湾电视剧《庭院深深》插曲） 蔡幸娟 歌谱简谱网	不如归去
qupu123-382272	qupu123	ok(曲名命中)	200		https://www.qupu123.com/tongsu/wuzi/p382272.html	https://www.qupu123.com/tongsu/wuzi/p382272.html	不如见一面 _swzhao原创曲谱专栏_中国曲谱网	不如见一面
jianpucn-63136	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/63/63136.htm	http://www.jianpu.cn/pu/63/63136.htm	不如这样 歌谱简谱网	不如这样
jianpucn-51000	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/51/51000.htm	http://www.jianpu.cn/pu/51/51000.htm	不如重新开始 歌谱简谱网	不如重新开始
jianpucn-414186	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/41/414186.htm	http://www.jianpu.cn/pu/41/414186.htm	不将就（尤克里里指弹谱） 李荣浩 歌谱简谱网	不将就
jianpucn-134087	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/13/134087.htm	http://www.jianpu.cn/pu/13/134087.htm	不应该 歌谱简谱网	不应该
qupu123-332993	qupu123	打不开:URLError	0		https://www.qupu123.com/minge/sanzi/p332993.html	https://www.qupu123.com/minge/sanzi/p332993.html		三峡谣
